Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,23,Food
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,13,Drinks
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,23,Food
FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,732.38,24,Food
NCD19,8.93,Non-Edible,0.0,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,35,Non-Consumable
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,13,Food
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,35,Food
FDP10,12.857645184136183,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,37,Food
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,20,Food
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,15,Food
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,23,Food
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,25,Food
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,23,Food
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,25,Food
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,35,Food
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,25,Food
NCB42,11.8,Non-Edible,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,13,Non-Consumable
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,23,Food
DRI11,12.857645184136183,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,37,Drinks
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,18,Food
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,35,Food
FDW12,12.857645184136183,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,37,Food
NCB30,14.6,Non-Edible,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,18,Non-Consumable
FDC37,12.857645184136183,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,37,Food
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,25,Food
NCD06,13.0,Non-Edible,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,15,Non-Consumable
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,18,Food
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,35,Drinks
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,178.4344,24,Food
FDC14,12.857645184136183,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,37,Food
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,163.7868,24,Food
NCS17,18.6,Non-Edible,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,13,Non-Consumable
FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,13,Food
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,20,Food
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,25,Drinks
NCX29,10.0,Non-Edible,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,23,Non-Consumable
FDV20,12.857645184136183,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,37,Food
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,13,Drinks
FDX10,12.857645184136183,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,37,Food
FDB34,12.857645184136183,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,37,Food
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,25,Food
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,35,Food
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,23,Food
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,13,Food
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,35,Food
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,358.2004,24,Food
NCP05,19.6,Non-Edible,0.0,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,20,Non-Consumable
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,20,Food
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,25,Food
