,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Numbered_Item_Fat_Content,Breads,Breakfast,Canned,Dairy,Frozen Foods,Fruits and Vegetables,Hard Drinks,Health and Hygiene,Household,Meat,Others,Seafood,Snack Foods,Soft Drinks,Starchy Foods
0,9.3,0.016047301,249.8092,1999,2,1,1.0,3735.138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5.92,0.019278216,48.2692,2009,2,3,2.0,443.4228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,17.5,0.016760075,141.618,1999,2,1,1.0,2097.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,19.2,0.0,182.095,1998,2,3,-1.0,732.38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,8.93,0.0,53.8614,1987,1,3,1.0,994.7052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,10.395,0.0,51.4008,2009,2,3,2.0,556.6088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.65,0.012741089,57.6588,1987,1,3,1.0,343.5528,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,12.857645184135976,0.127469857,107.7622,1985,2,3,3.0,4022.7636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,16.2,0.016687114,96.9726,2002,2,2,1.0,1076.5986,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,19.2,0.09444959,187.8214,2007,2,2,1.0,4710.535,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,11.8,0.0,45.5402,1999,2,1,1.0,1516.0266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,18.5,0.045463773,144.1102,1997,3,1,1.0,2187.153,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,15.1,0.1000135,145.4786,1999,2,1,1.0,1589.2646,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,17.6,0.047257328,119.6782,1997,3,1,1.0,2145.2076,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,16.35,0.0680243,196.4426,1987,1,3,1.0,1977.426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,9.0,0.069088961,56.3614,1997,3,1,1.0,1547.3192,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11.8,0.008596051,115.3492,2009,2,3,2.0,1621.8888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,9.0,0.069196376,54.3614,1999,2,1,1.0,718.3982,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12.857645184135976,0.034237682,113.2834,1985,2,3,3.0,2303.668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,13.35,0.10249212,230.5352,2004,3,2,1.0,2748.4224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,18.85,0.138190277,250.8724,1987,1,3,1.0,3775.086,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,12.857645184135976,0.035399923,144.5444,1985,2,3,3.0,4064.0432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,14.6,0.025698134,196.5084,2004,3,2,1.0,1587.2672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,12.857645184135976,0.057556998,107.6938,1985,3,1,-1.0,214.3876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,13.85,0.025896485,165.021,1997,3,1,1.0,4078.025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,13.0,0.099887103,45.906,2007,2,2,1.0,838.908,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,7.645,0.066693437,42.3112,2004,3,2,1.0,1065.28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,11.65,0.019356132,39.1164,1987,1,3,1.0,308.9312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,5.925,0.161466534,45.5086,1998,2,3,-1.0,178.4344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,12.857645184135976,0.072221801,43.6454,1985,3,1,-1.0,125.8362,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,19.25,0.170348551,55.7956,1998,2,3,-1.0,163.7868,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,18.6,0.080829372,96.4436,2009,2,3,2.0,2741.7644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,18.7,0.0,256.6672,2009,2,3,2.0,3068.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,17.85,0.0,93.1436,2002,2,2,1.0,2174.5028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,17.5,0.097904029,174.8738,1997,3,1,1.0,2085.2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
