Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1567.472
FDW14,OUT017,1315.8201
NCN55,OUT010,636.6217
FDQ58,OUT017,2437.9722
FDY38,OUT027,6242.9814
FDH56,OUT046,1879.6006
FDL48,OUT018,615.2241
FDC48,OUT027,2121.6577
FDN33,OUT045,1462.6283
FDA36,OUT017,3065.7195
FDT44,OUT017,1902.3844
FDQ56,OUT045,1364.4318
NCC54,OUT019,651.64825
FDU11,OUT049,2006.2555
DRL59,OUT013,809.52783
FDM24,OUT049,2290.656
FDI57,OUT045,3441.7554
DRC12,OUT018,2679.4475
NCM42,OUT027,2784.6213
FDA46,OUT010,518.80786
FDA31,OUT013,2712.5776
NCJ31,OUT035,3700.7805
FDG52,OUT046,788.65845
NCL19,OUT019,526.7178
FDS10,OUT035,3081.4055
FDX22,OUT010,636.81824
NCF19,OUT035,873.2036
NCE06,OUT046,2466.709
DRC27,OUT046,3533.7864
FDE21,OUT035,2070.5942
NCR42,OUT019,19.511293
FDX51,OUT018,2856.9219
NCR06,OUT018,563.9026
FDU31,OUT027,5269.187
FDU59,OUT017,2525.001
FDR03,OUT027,5624.457
FDS49,OUT027,2286.0632
FDD48,OUT010,359.35825
NCF18,OUT017,3131.3171
NCD43,OUT027,2184.0781
NCD54,OUT018,1715.9581
FDY19,OUT010,294.45203
NCY54,OUT017,2728.4211
NCL19,OUT018,2204.7085
FDP23,OUT010,538.8817
FDC26,OUT013,1744.7296
FDR14,OUT010,150.67566
NCS41,OUT035,3192.745
FDF41,OUT035,3811.9692
FDU34,OUT046,2050.893
DRH11,OUT046,850.69836
FDM03,OUT013,1715.3226
FDS31,OUT017,3049.7793
FDJ20,OUT017,1907.4735
FDV44,OUT027,5133.7354
FDG02,OUT049,3143.947
FDA09,OUT013,3072.5261
FDT04,OUT013,657.70776
FDL58,OUT019,601.6842
FDE52,OUT045,1399.8152
FDW12,OUT035,2481.8877
FDL51,OUT017,3323.7493
NCY42,OUT027,3151.9504
FDR07,OUT017,1760.5411
FDN40,OUT045,2260.5671
FDB35,OUT027,2535.5793
FDA22,OUT017,2694.1267
NCL06,OUT046,4082.1428
FDI35,OUT013,3241.5962
NCW42,OUT045,3527.908
NCX06,OUT049,3029.9304
FDC37,OUT027,2568.9534
FDZ14,OUT018,1669.6738
DRG49,OUT049,4305.244
NCG06,OUT045,3511.9514
DRC36,OUT045,2644.6357
FDV21,OUT019,472.88364
FDB53,OUT046,2462.5615
DRP47,OUT019,611.7818
FDA14,OUT013,2427.1038
DRC24,OUT035,2538.7144
FDW21,OUT018,1491.3259
NCH29,OUT046,1643.7622
FDU58,OUT013,3098.4548
FDY27,OUT017,2842.0322
FDV56,OUT035,1768.7766
FDT59,OUT046,3777.052
FDB23,OUT046,3593.2507
FDR49,OUT045,782.34814
FDB03,OUT010,631.59686
FDN39,OUT045,2663.092
FDX02,OUT027,5723.646
FDQ16,OUT027,2676.0579
FDU35,OUT018,1523.5686
NCT29,OUT013,1895.0782
FDZ27,OUT046,757.9282
FDN57,OUT017,2104.7395
FDA03,OUT018,2121.1208
FDZ36,OUT045,3111.7698
NCU05,OUT013,1316.1868
FDT39,OUT018,2049.3494
FDK60,OUT017,1575.351
FDZ25,OUT017,3058.0452
FDG12,OUT046,2106.425
DRB01,OUT019,598.2514
NCC43,OUT027,5924.645
FDX13,OUT019,705.28546
FDM22,OUT049,922.9707
FDJ03,OUT027,1489.3119
FDU14,OUT018,3741.7905
FDB33,OUT010,470.73856
FDP27,OUT046,3163.6008
FDO38,OUT010,236.76163
FDE28,OUT027,6002.235
FDO27,OUT035,1522.8439
DRL23,OUT027,2365.7402
FDS28,OUT046,871.0115
FDX24,OUT013,1448.2621
FDZ02,OUT035,1512.0083
FDL46,OUT045,1705.4258
FDS60,OUT027,4600.123
NCO06,OUT017,617.6326
FDO16,OUT035,1510.5767
FDC60,OUT049,1485.4003
FDA48,OUT018,3254.7239
FDZ36,OUT027,5017.636
FDK27,OUT045,1924.8402
FDW23,OUT018,500.57816
FDM14,OUT018,1421.6965
FDM14,OUT013,1655.0343
FDW60,OUT018,2617.4854
FDE21,OUT013,1968.1697
NCM42,OUT035,1757.3271
FDY59,OUT010,225.12848
DRI49,OUT049,1268.8112
FDT28,OUT019,380.0
FDQ22,OUT018,511.05426
FDR60,OUT049,1250.7008
FDC50,OUT019,333.02798
FDV24,OUT013,2352.0088
DRF48,OUT010,657.9914
FDQ47,OUT046,698.8877
DRN36,OUT049,1530.5056
NCY06,OUT035,2161.43
FDE52,OUT035,1481.7589
NCB54,OUT045,1885.5719
NCF31,OUT035,2458.3667
FDJ08,OUT027,4801.6606
NCC07,OUT017,1670.009
