Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,24,Food
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,14,Drinks
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,24,Food
FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,732.38,25,Food
NCD19,8.93,Non-Edible,0.0,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,36,Non-Consumable
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,14,Food
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,36,Food
FDP10,12.857645184136183,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,38,Food
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,21,Food
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,16,Food
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,24,Food
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,26,Food
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,24,Food
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,26,Food
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,36,Food
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,26,Food
NCB42,11.8,Non-Edible,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,14,Non-Consumable
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,24,Food
DRI11,12.857645184136183,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,38,Drinks
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,19,Food
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,36,Food
FDW12,12.857645184136183,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,38,Food
NCB30,14.6,Non-Edible,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,19,Non-Consumable
FDC37,12.857645184136183,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,38,Food
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,26,Food
NCD06,13.0,Non-Edible,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,16,Non-Consumable
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,19,Food
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,36,Drinks
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,178.4344,25,Food
FDC14,12.857645184136183,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,38,Food
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,163.7868,25,Food
NCS17,18.6,Non-Edible,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,14,Non-Consumable
